148,2019-04-16 23:14:47,23,254
149,2019-04-16 23:14:48,29,332
150,2019-04-16 23:14:49,32,290
151,2019-04-16 23:14:50,32,334
152,2019-04-16 23:14:51,32,313
153,2019-04-16 23:14:52,32,353
154,2019-04-16 23:14:53,34,242
155,2019-04-16 23:14:54,32,254
156,2019-04-16 23:14:55,32,341
157,2019-04-16 23:14:56,28,297
158,2019-04-16 23:14:57,33,312
159,2019-04-16 23:14:58,27,322
160,2019-04-16 23:14:59,32,271
161,2019-04-16 23:15:00,29,378
162,2019-04-16 23:15:01,27,286
163,2019-04-16 23:15:02,29,312
164,2019-04-16 23:15:03,30,286
165,2019-04-16 23:15:04,28,321
166,2019-04-16 23:15:05,27,337
167,2019-04-16 23:15:06,30,296
168,2019-04-16 23:15:07,32,296
169,2019-04-16 23:15:08,32,285
170,2019-04-16 23:15:09,29,306
171,2019-04-16 23:15:10,30,259
172,2019-04-16 23:15:11,33,235
173,2019-04-16 23:15:12,29,261
174,2019-04-16 23:15:13,32,245
175,2019-04-16 23:15:14,32,279
176,2019-04-16 23:15:15,30,268
177,2019-04-16 23:15:16,33,234
178,2019-04-16 23:15:17,33,244
179,2019-04-16 23:15:18,28,301
180,2019-04-16 23:15:19,29,273
181,2019-04-16 23:15:20,31,241
182,2019-04-16 23:15:21,30,265
